Time In,Time Out,Count
1568349761512,1568349767405,1
1568349836076,1568349841770,2
1568349932711,1568349939907,2
1568351059843,1568351065641,1
1568351174777,1568351180375,1
1568351588140,1568351593926,2
1568351649093,1568351654489,1
1568351963707,1568351970604,2
1568352000497,1568352007786,2
1568352136707,1568352142809,2
1568391860126,1568391867520,1
1568393402118,1568393409412,2
1568393443993,1568393449290,2
1568737054700,1568737060798,2
1569003823647,1569003824271,1
1571747619498,1571747620050,4
1571747684082,1571747684802,3
1571747690487,1571747690770,1
1571747732057,1571747732454,3
1571747745464,1571747746258,2
1571747761276,1571747762141,3
